low_in,up_in
20.0,23.0
15.0,25.0
15.0,25.0
20000.0,100000.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
2.3999999999999999,24.0
0.0,960.0
0.80000000000000004,17.0
